MeasTarget,DataType,DataTarget,DateUT,Optics,Grating,Camera,FileList
Jupiter,Planets,Jupiter,20150123UT,135mm,ST2000,100lpm-550CLR,20150123UT-100lpm-550CLR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150123UT,135mm,ST2000,100lpm-742NIR,20150123UT-100lpm-742NIR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150209UT,135mm,ST2000,100lpm-550CLR,20150209UT-100lpm-550CLR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150209UT,135mm,ST2000,100lpm-742NIR,20150209UT-100lpm-742NIR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150210UT,135mm,ST2000,100lpm-550CLR,20150210UT-100lpm-550CLR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150210UT,135mm,ST2000,100lpm-742NIR,20150210UT-100lpm-742NIR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150318UT,135mm,ST2000,100lpm-742NIR,20150318UT-100lpm-742NIR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150322UT,135mm,ST2000,100lpm-742NIR,20150322UT-100lpm-742NIR-RawFlux-EW.txt,
Jupiter,Planets,Jupiter,20150331UT,135mm,ST2000,100lpm-742NIR,20150331UT-100lpm-742NIR-RawFlux-EW.txt,
